cr_id,filename,page_num,page_classification,dropbox_path,doccloud_url
1073367,CPD 0051159.pdf,3,ARREST Report,/Green v. CPD FOIA Files/Green 12.30.19 Production/Green 2019.12.30 Production,https://beta.documentcloud.org/documents/20043816-cpd-0051159pdf
1073367,CPD 0051159.pdf,4,ARREST Report,/Green v. CPD FOIA Files/Green 12.30.19 Production/Green 2019.12.30 Production,https://beta.documentcloud.org/documents/20043816-cpd-0051159pdf
1073367,CPD 0051159.pdf,5,ARREST Report,/Green v. CPD FOIA Files/Green 12.30.19 Production/Green 2019.12.30 Production,https://beta.documentcloud.org/documents/20043816-cpd-0051159pdf
1073371,CPD 0051176.pdf,3,ARREST Report,/Green v. CPD FOIA Files/Green 12.30.19 Production/Green 2019.12.30 Production,https://beta.documentcloud.org/documents/20043390-cpd-0051176pdf
1073371,CPD 0051176.pdf,4,ARREST Report,/Green v. CPD FOIA Files/Green 12.30.19 Production/Green 2019.12.30 Production,https://beta.documentcloud.org/documents/20043390-cpd-0051176pdf
1073371,CPD 0051176.pdf,5,ARREST Report,/Green v. CPD FOIA Files/Green 12.30.19 Production/Green 2019.12.30 Production,https://beta.documentcloud.org/documents/20043390-cpd-0051176pdf
1073371,CPD 0051176.pdf,6,ARREST Report,/Green v. CPD FOIA Files/Green 12.30.19 Production/Green 2019.12.30 Production,https://beta.documentcloud.org/documents/20043390-cpd-0051176pdf
1073371,CPD 0051176.pdf,7,ARREST Report,/Green v. CPD FOIA Files/Green 12.30.19 Production/Green 2019.12.30 Production,https://beta.documentcloud.org/documents/20043390-cpd-0051176pdf
1073381,CPD 0051238.pdf,2,ARREST Report,/Green v. CPD FOIA Files/Green 12.30.19 Production/Green 2019.12.30 Production,https://beta.documentcloud.org/documents/20045390-cpd-0051238pdf
1073381,CPD 0051238.pdf,3,ARREST Report,/Green v. CPD FOIA Files/Green 12.30.19 Production/Green 2019.12.30 Production,https://beta.documentcloud.org/documents/20045390-cpd-0051238pdf
1073381,CPD 0051238.pdf,4,ARREST Report,/Green v. CPD FOIA Files/Green 12.30.19 Production/Green 2019.12.30 Production,https://beta.documentcloud.org/documents/20045390-cpd-0051238pdf
1073381,CPD 0051238.pdf,5,ARREST Report,/Green v. CPD FOIA Files/Green 12.30.19 Production/Green 2019.12.30 Production,https://beta.documentcloud.org/documents/20045390-cpd-0051238pdf
1073384,LOG_1073384.pdf,11,ARREST Report,/Green v. CPD FOIA Files/Green 1.31.20 Production,https://beta.documentcloud.org/documents/20034885-log_1073384pdf
1073384,LOG_1073384.pdf,12,ARREST Report,/Green v. CPD FOIA Files/Green 1.31.20 Production,https://beta.documentcloud.org/documents/20034885-log_1073384pdf
1073384,LOG_1073384.pdf,13,ARREST Report,/Green v. CPD FOIA Files/Green 1.31.20 Production,https://beta.documentcloud.org/documents/20034885-log_1073384pdf
1073384,LOG_1073384.pdf,14,ARREST Report,/Green v. CPD FOIA Files/Green 1.31.20 Production,https://beta.documentcloud.org/documents/20034885-log_1073384pdf
1073422,CPD 0051440.pdf,3,ARREST Report,/Green v. CPD FOIA Files/Green 12.30.19 Production/Green 2019.12.30 Production,https://beta.documentcloud.org/documents/20043092-cpd-0051440pdf
1073422,CPD 0051440.pdf,4,ARREST Report,/Green v. CPD FOIA Files/Green 12.30.19 Production/Green 2019.12.30 Production,https://beta.documentcloud.org/documents/20043092-cpd-0051440pdf
1073422,CPD 0051440.pdf,5,ARREST Report,/Green v. CPD FOIA Files/Green 12.30.19 Production/Green 2019.12.30 Production,https://beta.documentcloud.org/documents/20043092-cpd-0051440pdf
