"Production::Begin Bates","Production::End Bates","File Name","Log Number","FILE_PATH"
"CPD 0047249","CPD 0047251","LOG_1054517.zip?2012-2.LOG_1054517.001.CR Summary.pdf","LOG_1054517",""
"CPD 0047252","CPD 0047252","LOG_1054517.zip?2012-2.LOG_1054517.002.CR Face Sheet.pdf","LOG_1054517",""
"CPD 0047253","CPD 0047255","LOG_1054518.zip?2012-2.LOG_1054518.001.CR Summary.pdf","LOG_1054518",""
"CPD 0047256","CPD 0047257","LOG_1054518.zip?2012-2.LOG_1054518.002.CR Face Sheet.pdf","LOG_1054518",""
"CPD 0047258","CPD 0047260","LOG_1054520.zip?2012-2.LOG_1054520.001.CR Summary.pdf","LOG_1054520",""
"CPD 0047261","CPD 0047262","LOG_1054520.zip?2012-2.LOG_1054520.002.CR Face Sheet.pdf","LOG_1054520",""
"CPD 0047263","CPD 0047265","LOG_1054521.zip?2012-2.LOG_1054521.001.CR Summary.pdf","LOG_1054521",""
"CPD 0047266","CPD 0047266","LOG_1054521.zip?2012-2.LOG_1054521.002.CR Face Sheet.pdf","LOG_1054521",""
"CPD 0047267","CPD 0047269","LOG_1054523.zip?2012-2.LOG_1054523.001.CR Summary.pdf","LOG_1054523",""
"CPD 0047270","CPD 0047271","LOG_1054523.zip?2012-2.LOG_1054523.002.CR Face Sheet.pdf","LOG_1054523",""
"CPD 0047272","CPD 0047274","LOG_1054523.zip?2012-2.LOG_1054523.004.CR_Attachment_---_DOCID_858037.pdf","LOG_1054523",""
"CPD 0047275","CPD 0047277","LOG_1054525.zip?2012-2.LOG_1054525.001.CR Summary.pdf","LOG_1054525",""
"CPD 0047278","CPD 0047279","LOG_1054525.zip?2012-2.LOG_1054525.002.CR Face Sheet.pdf","LOG_1054525",""
"CPD 0047280","CPD 0047281","LOG_1054525.zip?2012-2.LOG_1054525.004.CR_Attachment_---_DOCID_859049.pdf","LOG_1054525",""
"CPD 0047282","CPD 0047284","LOG_1054526.zip?2012-2.LOG_1054526.001.CR Summary.pdf","LOG_1054526",""
"CPD 0047285","CPD 0047286","LOG_1054526.zip?2012-2.LOG_1054526.002.CR Face Sheet.pdf","LOG_1054526",""
"CPD 0047287","CPD 0047289","LOG_1054528.zip?2012-2.LOG_1054528.001.CR Summary.pdf","LOG_1054528",""
"CPD 0047290","CPD 0047291","LOG_1054528.zip?2012-2.LOG_1054528.002.CR Face Sheet.pdf","LOG_1054528",""
"CPD 0047292","CPD 0047292","LOG_1054528.zip?2012-2.LOG_1054528.004.CR_Attachment_---_DOCID_858487.pdf","LOG_1054528",""
"CPD 0047293","CPD 0047295","LOG_1054529.zip?2012-2.LOG_1054529.001.CR Summary.pdf","LOG_1054529",""
"CPD 0047296","CPD 0047297","LOG_1054529.zip?2012-2.LOG_1054529.002.CR Face Sheet.pdf","LOG_1054529",""
"CPD 0047298","CPD 0047301","LOG_1054529.zip?2012-2.LOG_1054529.004.CR_Attachment_---_DOCID_858485.pdf","LOG_1054529",""
"CPD 0047302","CPD 0047303","LOG_1054530.zip?2012-2.LOG_1054530.001.CR Summary.pdf","LOG_1054530",""
"CPD 0047304","CPD 0047304","LOG_1054530.zip?2012-2.LOG_1054530.002.CR Face Sheet.pdf","LOG_1054530",""
"CPD 0047305","CPD 0047307","LOG_1054531.zip?2012-2.LOG_1054531.001.CR Summary.pdf","LOG_1054531",""
"CPD 0047308","CPD 0047308","LOG_1054531.zip?2012-2.LOG_1054531.002.CR Face Sheet.pdf","LOG_1054531",""
"CPD 0047309","CPD 0047311","LOG_1054532.zip?2012-2.LOG_1054532.001.CR Summary.pdf","LOG_1054532",""
"CPD 0047312","CPD 0047313","LOG_1054532.zip?2012-2.LOG_1054532.002.CR Face Sheet.pdf","LOG_1054532",""
"CPD 0047314","CPD 0047315","LOG_1054534.zip?2012-2.LOG_1054534.001.CR Summary.pdf","LOG_1054534",""
"CPD 0047316","CPD 0047316","LOG_1054534.zip?2012-2.LOG_1054534.002.CR Face Sheet.pdf","LOG_1054534",""
"CPD 0047317","CPD 0047318","LOG_1054534.zip?2012-2.LOG_1054534.004.CR_Attachment_---_DOCID_858365.pdf","LOG_1054534",""
"CPD 0047319","CPD 0047321","LOG_1054535.zip?2012-2.LOG_1054535.001.CR Summary.pdf","LOG_1054535",""
"CPD 0047322","CPD 0047323","LOG_1054535.zip?2012-2.LOG_1054535.002.CR Face Sheet.pdf","LOG_1054535",""
"CPD 0047324","CPD 0047326","LOG_1054536.zip?2012-2.LOG_1054536.001.CR Summary.pdf","LOG_1054536",""
"CPD 0047327","CPD 0047327","LOG_1054536.zip?2012-2.LOG_1054536.002.CR Face Sheet.pdf","LOG_1054536",""
"CPD 0047328","CPD 0047330","LOG_1054538.zip?2012-2.LOG_1054538.001.CR Summary.pdf","LOG_1054538",""
"CPD 0047331","CPD 0047331","LOG_1054538.zip?2012-2.LOG_1054538.002.CR Face Sheet.pdf","LOG_1054538",""
"CPD 0047332","CPD 0047334","LOG_1054539.zip?2012-2.LOG_1054539.001.CR Summary.pdf","LOG_1054539",""
"CPD 0047335","CPD 0047336","LOG_1054539.zip?2012-2.LOG_1054539.002.CR Face Sheet.pdf","LOG_1054539",""
"CPD 0047337","CPD 0047339","LOG_1054540.zip?2012-2.LOG_1054540.001.CR Summary.pdf","LOG_1054540",""
"CPD 0047340","CPD 0047341","LOG_1054540.zip?2012-2.LOG_1054540.002.CR Face Sheet.pdf","LOG_1054540",""
"CPD 0047342","CPD 0047343","LOG_1054543.zip?2012-2.LOG_1054543.001.CR Summary.pdf","LOG_1054543",""
"CPD 0047344","CPD 0047344","LOG_1054543.zip?2012-2.LOG_1054543.002.CR Face Sheet.pdf","LOG_1054543",""
"CPD 0047345","CPD 0047346","LOG_1054543.zip?2012-2.LOG_1054543.004.CR_Attachment_---_DOCID_858394.pdf","LOG_1054543",""
"CPD 0047347","CPD 0047350","LOG_1054543.zip?2012-2.LOG_1054543.005.CR_Attachment_---_DOCID_858483.pdf","LOG_1054543",""
"CPD 0047351","CPD 0047353","LOG_1054545.zip?2012-2.LOG_1054545.001.CR Summary.pdf","LOG_1054545",""
"CPD 0047354","CPD 0047355","LOG_1054545.zip?2012-2.LOG_1054545.002.CR Face Sheet.pdf","LOG_1054545",""
"CPD 0047356","CPD 0047358","LOG_1054545.zip?2012-2.LOG_1054545.004.CR_Attachment_---_DOCID_858398.pdf","LOG_1054545",""
"CPD 0047359","CPD 0047361","LOG_1054551.zip?2012-2.LOG_1054551.001.CR Summary.pdf","LOG_1054551",""
"CPD 0047362","CPD 0047362","LOG_1054551.zip?2012-2.LOG_1054551.002.CR Face Sheet.pdf","LOG_1054551",""
"CPD 0047363","CPD 0047365","LOG_1054553.zip?2012-2.LOG_1054553.001.CR Summary.pdf","LOG_1054553",""
"CPD 0047366","CPD 0047367","LOG_1054553.zip?2012-2.LOG_1054553.002.CR Face Sheet.pdf","LOG_1054553",""
"CPD 0047368","CPD 0047370","LOG_1054554.zip?2012-2.LOG_1054554.001.CR Summary.pdf","LOG_1054554",""
"CPD 0047371","CPD 0047372","LOG_1054554.zip?2012-2.LOG_1054554.002.CR Face Sheet.pdf","LOG_1054554",""
"CPD 0047373","CPD 0047374","LOG_1054555.zip?2012-2.LOG_1054555.001.CR Summary.pdf","LOG_1054555",""
"CPD 0047375","CPD 0047375","LOG_1054555.zip?2012-2.LOG_1054555.002.CR Face Sheet.pdf","LOG_1054555",""
"CPD 0047376","CPD 0047378","LOG_1054556.zip?2012-2.LOG_1054556.001.CR Summary.pdf","LOG_1054556",""
"CPD 0047379","CPD 0047380","LOG_1054556.zip?2012-2.LOG_1054556.002.CR Face Sheet.pdf","LOG_1054556",""
"CPD 0047381","CPD 0047383","LOG_1054559.zip?2012-2.LOG_1054559.001.CR Summary.pdf","LOG_1054559",""
"CPD 0047384","CPD 0047384","LOG_1054559.zip?2012-2.LOG_1054559.002.CR Face Sheet.pdf","LOG_1054559",""
"CPD 0047385","CPD 0047387","LOG_1054560.zip?2012-2.LOG_1054560.001.CR Summary.pdf","LOG_1054560",""
"CPD 0047388","CPD 0047389","LOG_1054560.zip?2012-2.LOG_1054560.002.CR Face Sheet.pdf","LOG_1054560",""
"CPD 0047390","CPD 0047392","LOG_1054563.zip?2012-2.LOG_1054563.001.CR Summary.pdf","LOG_1054563",""
"CPD 0047393","CPD 0047394","LOG_1054563.zip?2012-2.LOG_1054563.002.CR Face Sheet.pdf","LOG_1054563",""
"CPD 0047395","CPD 0047397","LOG_1054565.zip?2012-2.LOG_1054565.001.CR Summary.pdf","LOG_1054565",""
"CPD 0047398","CPD 0047399","LOG_1054565.zip?2012-2.LOG_1054565.002.CR Face Sheet.pdf","LOG_1054565",""
"CPD 0047400","CPD 0047402","LOG_1054568.zip?2012-2.LOG_1054568.001.CR Summary.pdf","LOG_1054568",""
"CPD 0047403","CPD 0047404","LOG_1054568.zip?2012-2.LOG_1054568.002.CR Face Sheet.pdf","LOG_1054568",""
"CPD 0047405","CPD 0047405","LOG_1054568.zip?2012-2.LOG_1054568.004.CR_Attachment_---_DOCID_858870.pdf","LOG_1054568",""
"CPD 0047406","CPD 0047407","LOG_1054571.zip?2012-2.LOG_1054571.001.CR Summary.pdf","LOG_1054571",""
"CPD 0047408","CPD 0047408","LOG_1054571.zip?2012-2.LOG_1054571.002.CR Face Sheet.pdf","LOG_1054571",""
"CPD 0047409","CPD 0047411","LOG_1054573.zip?2012-2.LOG_1054573.001.CR Summary.pdf","LOG_1054573",""
"CPD 0047412","CPD 0047413","LOG_1054573.zip?2012-2.LOG_1054573.002.CR Face Sheet.pdf","LOG_1054573",""
"CPD 0047414","CPD 0047414","LOG_1054573.zip?2012-2.LOG_1054573.004.CR_Attachment_---_DOCID_859092.pdf","LOG_1054573",""
"CPD 0047415","CPD 0047417","LOG_1054577.zip?2012-2.LOG_1054577.001.CR Summary.pdf","LOG_1054577",""
"CPD 0047418","CPD 0047419","LOG_1054577.zip?2012-2.LOG_1054577.002.CR Face Sheet.pdf","LOG_1054577",""
"CPD 0047420","CPD 0047424","LOG_1054577.zip?2012-2.LOG_1054577.004.CR_Attachment_---_DOCID_859691.pdf","LOG_1054577",""
"CPD 0047425","CPD 0047427","LOG_1054583.zip?2012-2.LOG_1054583.001.CR Summary.pdf","LOG_1054583",""
"CPD 0047428","CPD 0047429","LOG_1054583.zip?2012-2.LOG_1054583.002.CR Face Sheet.pdf","LOG_1054583",""
"CPD 0047430","CPD 0047432","LOG_1054584.zip?2012-2.LOG_1054584.001.CR Summary.pdf","LOG_1054584",""
"CPD 0047433","CPD 0047434","LOG_1054584.zip?2012-2.LOG_1054584.002.CR Face Sheet.pdf","LOG_1054584",""
"CPD 0047435","CPD 0047437","LOG_1054585.zip?2012-2.LOG_1054585.001.CR Summary.pdf","LOG_1054585",""
"CPD 0047438","CPD 0047439","LOG_1054585.zip?2012-2.LOG_1054585.002.CR Face Sheet.pdf","LOG_1054585",""
"CPD 0047440","CPD 0047442","LOG_1054588.zip?2012-2.LOG_1054588.001.CR Summary.pdf","LOG_1054588",""
"CPD 0047443","CPD 0047444","LOG_1054588.zip?2012-2.LOG_1054588.002.CR Face Sheet.pdf","LOG_1054588",""
"CPD 0047445","CPD 0047445","LOG_1054588.zip?2012-2.LOG_1054588.004.CR_Attachment_---_DOCID_859257.pdf","LOG_1054588",""
"CPD 0047446","CPD 0047447","LOG_1054589.zip?2012-2.LOG_1054589.001.CR Summary.pdf","LOG_1054589",""
"CPD 0047448","CPD 0047448","LOG_1054589.zip?2012-2.LOG_1054589.002.CR Face Sheet.pdf","LOG_1054589",""
"CPD 0047449","CPD 0047450","LOG_1054589.zip?2012-2.LOG_1054589.004.CR_Attachment_---_DOCID_859300.pdf","LOG_1054589",""
"CPD 0047451","CPD 0047452","LOG_1054590.zip?2012-2.LOG_1054590.001.CR Summary.pdf","LOG_1054590",""
"CPD 0047453","CPD 0047453","LOG_1054590.zip?2012-2.LOG_1054590.002.CR Face Sheet.pdf","LOG_1054590",""
"CPD 0047454","CPD 0047456","LOG_1054590.zip?2012-2.LOG_1054590.004.CR_Attachment_---_DOCID_859303.pdf","LOG_1054590",""
"CPD 0047457","CPD 0047459","LOG_1054592.zip?2012-2.LOG_1054592.001.CR Summary.pdf","LOG_1054592",""
"CPD 0047460","CPD 0047460","LOG_1054592.zip?2012-2.LOG_1054592.002.CR Face Sheet.pdf","LOG_1054592",""
"CPD 0047461","CPD 0047463","LOG_1054593.zip?2012-2.LOG_1054593.001.CR Summary.pdf","LOG_1054593",""
"CPD 0047464","CPD 0047465","LOG_1054593.zip?2012-2.LOG_1054593.002.CR Face Sheet.pdf","LOG_1054593",""
"CPD 0047466","CPD 0047468","LOG_1054594.zip?2012-2.LOG_1054594.001.CR Summary.pdf","LOG_1054594",""
"CPD 0047469","CPD 0047470","LOG_1054594.zip?2012-2.LOG_1054594.002.CR Face Sheet.pdf","LOG_1054594",""
"CPD 0047471","CPD 0047475","LOG_1054594.zip?2012-2.LOG_1054594.004.CR_Attachment_---_DOCID_859800.pdf","LOG_1054594",""
"CPD 0047476","CPD 0047478","LOG_1054595.zip?2012-2.LOG_1054595.001.CR Summary.pdf","LOG_1054595",""
"CPD 0047479","CPD 0047479","LOG_1054595.zip?2012-2.LOG_1054595.002.CR Face Sheet.pdf","LOG_1054595",""
"CPD 0047480","CPD 0047481","LOG_1054599.zip?2012-2.LOG_1054599.001.CR Summary.pdf","LOG_1054599",""
"CPD 0047482","CPD 0047482","LOG_1054599.zip?2012-2.LOG_1054599.002.CR Face Sheet.pdf","LOG_1054599",""
"CPD 0047483","CPD 0047485","LOG_1054601.zip?2012-2.LOG_1054601.001.CR Summary.pdf","LOG_1054601",""
"CPD 0047486","CPD 0047487","LOG_1054601.zip?2012-2.LOG_1054601.002.CR Face Sheet.pdf","LOG_1054601",""
"CPD 0047488","CPD 0047490","LOG_1054602.zip?2012-2.LOG_1054602.001.CR Summary.pdf","LOG_1054602",""
"CPD 0047491","CPD 0047492","LOG_1054602.zip?2012-2.LOG_1054602.002.CR Face Sheet.pdf","LOG_1054602",""
"CPD 0047493","CPD 0047494","LOG_1054602.zip?2012-2.LOG_1054602.016.CR_Attachment_---_DOCID_859364.pdf","LOG_1054602",""
"CPD 0047495","CPD 0047499","LOG_1054602.zip?2012-2.LOG_1054602.017.CR_Attachment_---_DOCID_859365.pdf","LOG_1054602",""
"CPD 0047500","CPD 0047507","LOG_1054602.zip?2012-2.LOG_1054602.018.CR_Attachment_---_DOCID_859378.pdf","LOG_1054602",""
"CPD 0047508","CPD 0047519","LOG_1054602.zip?2012-2.LOG_1054602.019.CR_Attachment_---_DOCID_859380.pdf","LOG_1054602",""
"CPD 0047520","CPD 0047524","LOG_1054602.zip?2012-2.LOG_1054602.020.CR_Attachment_---_DOCID_859381.pdf","LOG_1054602",""
"CPD 0047525","CPD 0047529","LOG_1054602.zip?2012-2.LOG_1054602.021.CR_Attachment_---_DOCID_859382.pdf","LOG_1054602",""
"CPD 0047530","CPD 0047532","LOG_1054604.zip?2012-2.LOG_1054604.001.CR Summary.pdf","LOG_1054604",""
"CPD 0047533","CPD 0047534","LOG_1054604.zip?2012-2.LOG_1054604.002.CR Face Sheet.pdf","LOG_1054604",""
"CPD 0047535","CPD 0047536","LOG_1054604.zip?2012-2.LOG_1054604.004.CR_Attachment_---_DOCID_859384.pdf","LOG_1054604",""
"CPD 0047537","CPD 0047538","LOG_1054604.zip?2012-2.LOG_1054604.005.CR_Attachment_---_DOCID_859385.pdf","LOG_1054604",""
"CPD 0047539","CPD 0047543","LOG_1054604.zip?2012-2.LOG_1054604.006.CR_Attachment_---_DOCID_859386.pdf","LOG_1054604",""
"CPD 0047544","CPD 0047548","LOG_1054604.zip?2012-2.LOG_1054604.007.CR_Attachment_---_DOCID_875995.pdf","LOG_1054604",""
"CPD 0047549","CPD 0047550","LOG_1054604.zip?2012-2.LOG_1054604.008.CR_Attachment_---_DOCID_897478.pdf","LOG_1054604",""
"CPD 0047551","CPD 0047553","LOG_1054605.zip?2012-2.LOG_1054605.001.CR Summary.pdf","LOG_1054605",""
"CPD 0047554","CPD 0047555","LOG_1054605.zip?2012-2.LOG_1054605.002.CR Face Sheet.pdf","LOG_1054605",""
"CPD 0047556","CPD 0047557","LOG_1054605.zip?2012-2.LOG_1054605.006.CR_Attachment_003_DOCID_862828.PDF","LOG_1054605",""
"CPD 0047558","CPD 0047559","LOG_1054605.zip?2012-2.LOG_1054605.007.CR_Attachment_004_DOCID_860951.PDF","LOG_1054605",""
"CPD 0047560","CPD 0047562","LOG_1054605.zip?2012-2.LOG_1054605.008.CR_Attachment_005_DOCID_860949.pdf","LOG_1054605",""
"CPD 0047563","CPD 0047566","LOG_1054605.zip?2012-2.LOG_1054605.009.CR_Attachment_006_DOCID_862827.PDF","LOG_1054605",""
"CPD 0047567","CPD 0047570","LOG_1054605.zip?2012-2.LOG_1054605.010.CR_Attachment_---_DOCID_862952.PDF","LOG_1054605",""
"CPD 0047571","CPD 0047573","LOG_1054606.zip?2012-2.LOG_1054606.001.CR Summary.pdf","LOG_1054606",""
"CPD 0047574","CPD 0047575","LOG_1054606.zip?2012-2.LOG_1054606.002.CR Face Sheet.pdf","LOG_1054606",""
"CPD 0047576","CPD 0047578","LOG_1054607.zip?2012-2.LOG_1054607.001.CR Summary.pdf","LOG_1054607",""
"CPD 0047579","CPD 0047580","LOG_1054607.zip?2012-2.LOG_1054607.002.CR Face Sheet.pdf","LOG_1054607",""
"CPD 0047581","CPD 0047581","LOG_1054607.zip?2012-2.LOG_1054607.004.CR_Attachment_---_DOCID_860019.pdf","LOG_1054607",""
"CPD 0047582","CPD 0047583","LOG_1054607.zip?2012-2.LOG_1054607.005.CR_Attachment_---_DOCID_878620.pdf","LOG_1054607",""
"CPD 0047584","CPD 0047586","LOG_1054609.zip?2012-2.LOG_1054609.001.CR Summary.pdf","LOG_1054609",""
"CPD 0047587","CPD 0047588","LOG_1054609.zip?2012-2.LOG_1054609.002.CR Face Sheet.pdf","LOG_1054609",""
"CPD 0047589","CPD 0047591","LOG_1054612.zip?2012-2.LOG_1054612.001.CR Summary.pdf","LOG_1054612",""
"CPD 0047592","CPD 0047593","LOG_1054612.zip?2012-2.LOG_1054612.002.CR Face Sheet.pdf","LOG_1054612",""
"CPD 0047594","CPD 0047596","LOG_1054613.zip?2012-2.LOG_1054613.001.CR Summary.pdf","LOG_1054613",""
"CPD 0047597","CPD 0047598","LOG_1054613.zip?2012-2.LOG_1054613.002.CR Face Sheet.pdf","LOG_1054613",""
"CPD 0047599","CPD 0047601","LOG_1054615.zip?2012-2.LOG_1054615.001.CR Summary.pdf","LOG_1054615",""
"CPD 0047602","CPD 0047603","LOG_1054615.zip?2012-2.LOG_1054615.002.CR Face Sheet.pdf","LOG_1054615",""
"CPD 0047604","CPD 0047606","LOG_1054616.zip?2012-2.LOG_1054616.001.CR Summary.pdf","LOG_1054616",""
"CPD 0047607","CPD 0047608","LOG_1054616.zip?2012-2.LOG_1054616.002.CR Face Sheet.pdf","LOG_1054616",""
"CPD 0047609","CPD 0047611","LOG_1054617.zip?2012-2.LOG_1054617.001.CR Summary.pdf","LOG_1054617",""
"CPD 0047612","CPD 0047613","LOG_1054617.zip?2012-2.LOG_1054617.002.CR Face Sheet.pdf","LOG_1054617",""
"CPD 0047614","CPD 0047616","LOG_1054618.zip?2012-2.LOG_1054618.001.CR Summary.pdf","LOG_1054618",""
"CPD 0047617","CPD 0047618","LOG_1054618.zip?2012-2.LOG_1054618.002.CR Face Sheet.pdf","LOG_1054618",""
"CPD 0047619","CPD 0047620","LOG_1054618.zip?2012-2.LOG_1054618.004.CR_Attachment_---_DOCID_861367.pdf","LOG_1054618",""
"CPD 0047621","CPD 0047623","LOG_1054619.zip?2012-2.LOG_1054619.001.CR Summary.pdf","LOG_1054619",""
"CPD 0047624","CPD 0047625","LOG_1054619.zip?2012-2.LOG_1054619.002.CR Face Sheet.pdf","LOG_1054619",""
"CPD 0047626","CPD 0047628","LOG_1054620.zip?2012-2.LOG_1054620.001.CR Summary.pdf","LOG_1054620",""
"CPD 0047629","CPD 0047630","LOG_1054620.zip?2012-2.LOG_1054620.002.CR Face Sheet.pdf","LOG_1054620",""
"CPD 0047631","CPD 0047632","LOG_1054620.zip?2012-2.LOG_1054620.004.CR_Attachment_---_DOCID_860021.pdf","LOG_1054620",""
"CPD 0047633","CPD 0047635","LOG_1054621.zip?2012-2.LOG_1054621.001.CR Summary.pdf","LOG_1054621",""
"CPD 0047636","CPD 0047637","LOG_1054621.zip?2012-2.LOG_1054621.002.CR Face Sheet.pdf","LOG_1054621",""
"CPD 0047638","CPD 0047642","LOG_1054621.zip?2012-2.LOG_1054621.004.CR_Attachment_---_DOCID_859669.pdf","LOG_1054621",""
"CPD 0047643","CPD 0047645","LOG_1054622.zip?2012-2.LOG_1054622.001.CR Summary.pdf","LOG_1054622",""
"CPD 0047646","CPD 0047647","LOG_1054622.zip?2012-2.LOG_1054622.002.CR Face Sheet.pdf","LOG_1054622",""
"CPD 0047648","CPD 0047659","LOG_1054622.zip?2012-2.LOG_1054622.004.CR_Attachment_---_DOCID_871078.pdf","LOG_1054622",""
"CPD 0047660","CPD 0047662","LOG_1054623.zip?2012-2.LOG_1054623.001.CR Summary.pdf","LOG_1054623",""
"CPD 0047663","CPD 0047664","LOG_1054623.zip?2012-2.LOG_1054623.002.CR Face Sheet.pdf","LOG_1054623",""
"CPD 0047665","CPD 0047667","LOG_1054627.zip?2012-2.LOG_1054627.001.CR Summary.pdf","LOG_1054627",""
"CPD 0047668","CPD 0047669","LOG_1054627.zip?2012-2.LOG_1054627.002.CR Face Sheet.pdf","LOG_1054627",""
"CPD 0047670","CPD 0047672","LOG_1054633.zip?2012-2.LOG_1054633.001.CR Summary.pdf","LOG_1054633",""
"CPD 0047673","CPD 0047674","LOG_1054633.zip?2012-2.LOG_1054633.002.CR Face Sheet.pdf","LOG_1054633",""
"CPD 0047675","CPD 0047677","LOG_1054634.zip?2012-2.LOG_1054634.001.CR Summary.pdf","LOG_1054634",""
"CPD 0047678","CPD 0047679","LOG_1054634.zip?2012-2.LOG_1054634.002.CR Face Sheet.pdf","LOG_1054634",""
"CPD 0047680","CPD 0047684","LOG_1054634.zip?2012-2.LOG_1054634.004.CR_Attachment_---_DOCID_859676.pdf","LOG_1054634",""
"CPD 0047685","CPD 0047687","LOG_1054635.zip?2012-2.LOG_1054635.001.CR Summary.pdf","LOG_1054635",""
"CPD 0047688","CPD 0047689","LOG_1054635.zip?2012-2.LOG_1054635.002.CR Face Sheet.pdf","LOG_1054635",""
"CPD 0047690","CPD 0047692","LOG_1054636.zip?2012-2.LOG_1054636.001.CR Summary.pdf","LOG_1054636",""
"CPD 0047693","CPD 0047694","LOG_1054636.zip?2012-2.LOG_1054636.002.CR Face Sheet.pdf","LOG_1054636",""
"CPD 0047695","CPD 0047697","LOG_1054637.zip?2012-2.LOG_1054637.001.CR Summary.pdf","LOG_1054637",""
"CPD 0047698","CPD 0047699","LOG_1054637.zip?2012-2.LOG_1054637.002.CR Face Sheet.pdf","LOG_1054637",""
"CPD 0047700","CPD 0047701","LOG_1054637.zip?2012-2.LOG_1054637.004.CR_Attachment_---_DOCID_860512.pdf","LOG_1054637",""
"CPD 0047702","CPD 0047704","LOG_1054639.zip?2012-2.LOG_1054639.001.CR Summary.pdf","LOG_1054639",""
"CPD 0047705","CPD 0047706","LOG_1054639.zip?2012-2.LOG_1054639.002.CR Face Sheet.pdf","LOG_1054639",""
"CPD 0047707","CPD 0047709","LOG_1054642.zip?2012-2.LOG_1054642.001.CR Summary.pdf","LOG_1054642",""
"CPD 0047710","CPD 0047711","LOG_1054642.zip?2012-2.LOG_1054642.002.CR Face Sheet.pdf","LOG_1054642",""
"CPD 0047712","CPD 0047716","LOG_1054642.zip?2012-2.LOG_1054642.004.CR_Attachment_---_DOCID_859682.pdf","LOG_1054642",""
"CPD 0047717","CPD 0047719","LOG_1054648.zip?2012-2.LOG_1054648.001.CR Summary.pdf","LOG_1054648",""
"CPD 0047720","CPD 0047720","LOG_1054648.zip?2012-2.LOG_1054648.002.CR Face Sheet.pdf","LOG_1054648",""
"CPD 0047721","CPD 0047723","LOG_1054649.zip?2012-2.LOG_1054649.001.CR Summary.pdf","LOG_1054649",""
"CPD 0047724","CPD 0047724","LOG_1054649.zip?2012-2.LOG_1054649.002.CR Face Sheet.pdf","LOG_1054649",""
"CPD 0047725","CPD 0047727","LOG_1054649.zip?2012-2.LOG_1054649.004.CR_Attachment_---_DOCID_859941.pdf","LOG_1054649",""
"CPD 0047728","CPD 0047730","LOG_1054650.zip?2012-2.LOG_1054650.001.CR Summary.pdf","LOG_1054650",""
"CPD 0047731","CPD 0047732","LOG_1054650.zip?2012-2.LOG_1054650.002.CR Face Sheet.pdf","LOG_1054650",""
"CPD 0047733","CPD 0047735","LOG_1054653.zip?2012-2.LOG_1054653.001.CR Summary.pdf","LOG_1054653",""
"CPD 0047736","CPD 0047736","LOG_1054653.zip?2012-2.LOG_1054653.002.CR Face Sheet.pdf","LOG_1054653",""
"CPD 0047737","CPD 0047739","LOG_1054654.zip?2012-2.LOG_1054654.001.CR Summary.pdf","LOG_1054654",""
"CPD 0047740","CPD 0047741","LOG_1054654.zip?2012-2.LOG_1054654.002.CR Face Sheet.pdf","LOG_1054654",""
"CPD 0047742","CPD 0047744","LOG_1054656.zip?2012-2.LOG_1054656.001.CR Summary.pdf","LOG_1054656",""
"CPD 0047745","CPD 0047746","LOG_1054656.zip?2012-2.LOG_1054656.002.CR Face Sheet.pdf","LOG_1054656",""
"CPD 0047747","CPD 0047749","LOG_1054657.zip?2012-2.LOG_1054657.001.CR Summary.pdf","LOG_1054657",""
"CPD 0047750","CPD 0047751","LOG_1054657.zip?2012-2.LOG_1054657.002.CR Face Sheet.pdf","LOG_1054657",""
"CPD 0047752","CPD 0047754","LOG_1054659.zip?2012-2.LOG_1054659.001.CR Summary.pdf","LOG_1054659",""
"CPD 0047755","CPD 0047756","LOG_1054659.zip?2012-2.LOG_1054659.002.CR Face Sheet.pdf","LOG_1054659",""
"CPD 0047757","CPD 0047759","LOG_1054660.zip?2012-2.LOG_1054660.001.CR Summary.pdf","LOG_1054660",""
"CPD 0047760","CPD 0047761","LOG_1054660.zip?2012-2.LOG_1054660.002.CR Face Sheet.pdf","LOG_1054660",""
"CPD 0047762","CPD 0047764","LOG_1054662.zip?2012-2.LOG_1054662.001.CR Summary.pdf","LOG_1054662",""
"CPD 0047765","CPD 0047765","LOG_1054662.zip?2012-2.LOG_1054662.002.CR Face Sheet.pdf","LOG_1054662",""
"CPD 0047766","CPD 0047767","LOG_1054662.zip?2012-2.LOG_1054662.004.CR_Attachment_---_DOCID_859760.pdf","LOG_1054662",""
"CPD 0047768","CPD 0047770","LOG_1054665.zip?2012-2.LOG_1054665.001.CR Summary.pdf","LOG_1054665",""
"CPD 0047771","CPD 0047772","LOG_1054665.zip?2012-2.LOG_1054665.002.CR Face Sheet.pdf","LOG_1054665",""
"CPD 0047773","CPD 0047775","LOG_1054666.zip?2012-2.LOG_1054666.001.CR Summary.pdf","LOG_1054666",""
"CPD 0047776","CPD 0047777","LOG_1054666.zip?2012-2.LOG_1054666.002.CR Face Sheet.pdf","LOG_1054666",""
"CPD 0047778","CPD 0047779","LOG_1054666.zip?2012-2.LOG_1054666.004.CR_Attachment_---_DOCID_859801.pdf","LOG_1054666",""
"CPD 0047780","CPD 0047781","LOG_1054666.zip?2012-2.LOG_1054666.005.CR_Attachment_---_DOCID_859802.pdf","LOG_1054666",""
"CPD 0047782","CPD 0047784","LOG_1054668.zip?2012-2.LOG_1054668.001.CR Summary.pdf","LOG_1054668",""
