"Production::Begin Bates","Production::End Bates","File Name","Log Number","FILE_PATH"
"CPD 0038820","CPD 0038821","LOG_1051907.zip?2012-1.LOG_1051907.002.CR Face Sheet.pdf","LOG_1051907",""
"CPD 0038822","CPD 0038822","LOG_1051907.zip?2012-1.LOG_1051907.007.CR_Attachment_004_DOCID_837380.pdf","LOG_1051907",""
"CPD 0038823","CPD 0038823","LOG_1051907.zip?2012-1.LOG_1051907.008.CR_Attachment_005_DOCID_837379.pdf","LOG_1051907",""
"CPD 0038824","CPD 0038825","LOG_1051907.zip?2012-1.LOG_1051907.009.CR_Attachment_006_DOCID_837381.pdf","LOG_1051907",""
"CPD 0038826","CPD 0038828","LOG_1051908.zip?2012-1.LOG_1051908.001.CR Summary.pdf","LOG_1051908",""
"CPD 0038829","CPD 0038830","LOG_1051908.zip?2012-1.LOG_1051908.002.CR Face Sheet.pdf","LOG_1051908",""
"CPD 0038831","CPD 0038832","LOG_1051908.zip?2012-1.LOG_1051908.004.CR_Attachment_---_DOCID_824007.pdf","LOG_1051908",""
"CPD 0038833","CPD 0038837","LOG_1051908.zip?2012-1.LOG_1051908.005.CR_Attachment_---_DOCID_824010.pdf","LOG_1051908",""
"CPD 0038838","CPD 0038838","LOG_1051908.zip?2012-1.LOG_1051908.006.CR_Attachment_---_DOCID_829161.pdf","LOG_1051908",""
"CPD 0038839","CPD 0038841","LOG_1051914.zip?2012-1.LOG_1051914.001.CR Summary.pdf","LOG_1051914",""
"CPD 0038842","CPD 0038843","LOG_1051914.zip?2012-1.LOG_1051914.002.CR Face Sheet.pdf","LOG_1051914",""
"CPD 0038844","CPD 0038845","LOG_1051914.zip?2012-1.LOG_1051914.004.CR_Attachment_---_DOCID_824213.pdf","LOG_1051914",""
"CPD 0038846","CPD 0038848","LOG_1051924.zip?2012-1.LOG_1051924.001.CR Summary.pdf","LOG_1051924",""
"CPD 0038849","CPD 0038850","LOG_1051924.zip?2012-1.LOG_1051924.002.CR Face Sheet.pdf","LOG_1051924",""
"CPD 0038851","CPD 0038851","LOG_1051924.zip?2012-1.LOG_1051924.004.CR_Attachment_---_DOCID_824192.pdf","LOG_1051924",""
"CPD 0038852","CPD 0038852","LOG_1051924.zip?2012-1.LOG_1051924.005.CR_Attachment_---_DOCID_833763.pdf","LOG_1051924",""
"CPD 0038853","CPD 0038855","LOG_1051926.zip?2012-1.LOG_1051926.001.CR Summary.pdf","LOG_1051926",""
"CPD 0038856","CPD 0038857","LOG_1051926.zip?2012-1.LOG_1051926.002.CR Face Sheet.pdf","LOG_1051926",""
"CPD 0038858","CPD 0038859","LOG_1051926.zip?2012-1.LOG_1051926.004.CR_Attachment_---_DOCID_824316.pdf","LOG_1051926",""
"CPD 0038860","CPD 0038862","LOG_1051927.zip?2012-1.LOG_1051927.001.CR Summary.pdf","LOG_1051927",""
"CPD 0038863","CPD 0038864","LOG_1051927.zip?2012-1.LOG_1051927.002.CR Face Sheet.pdf","LOG_1051927",""
"CPD 0038865","CPD 0038866","LOG_1051927.zip?2012-1.LOG_1051927.004.CR_Attachment_---_DOCID_824212.pdf","LOG_1051927",""
"CPD 0038867","CPD 0038869","LOG_1051928.zip?2012-1.LOG_1051928.001.CR Summary.pdf","LOG_1051928",""
"CPD 0038870","CPD 0038871","LOG_1051928.zip?2012-1.LOG_1051928.002.CR Face Sheet.pdf","LOG_1051928",""
"CPD 0038872","CPD 0038872","LOG_1051928.zip?2012-1.LOG_1051928.004.CR_Attachment_---_DOCID_824257.pdf","LOG_1051928",""
"CPD 0038873","CPD 0038875","LOG_1051935.zip?2012-1.LOG_1051935.001.CR Summary.pdf","LOG_1051935",""
"CPD 0038876","CPD 0038877","LOG_1051935.zip?2012-1.LOG_1051935.002.CR Face Sheet.pdf","LOG_1051935",""
