"Production::Begin Bates","Production::End Bates","Log Number"
"CPD 0025427","CPD 0025429","LOG_1051016"
"CPD 0025430","CPD 0025431","LOG_1051016"
"CPD 0025432","CPD 0025434","LOG_1051019"
"CPD 0025435","CPD 0025436","LOG_1051019"
"CPD 0025437","CPD 0025439","LOG_1051024"
"CPD 0025440","CPD 0025440","LOG_1051024"
"CPD 0025441","CPD 0025443","LOG_1051025"
"CPD 0025444","CPD 0025445","LOG_1051025"
"CPD 0025446","CPD 0025448","LOG_1051026"
"CPD 0025449","CPD 0025450","LOG_1051026"
"CPD 0025451","CPD 0025453","LOG_1051029"
"CPD 0025454","CPD 0025454","LOG_1051029"
"CPD 0025455","CPD 0025457","LOG_1051035"
"CPD 0025458","CPD 0025459","LOG_1051035"
"CPD 0025460","CPD 0025461","LOG_1051036"
"CPD 0025462","CPD 0025462","LOG_1051036"
"CPD 0025463","CPD 0025467","LOG_1051038"
"CPD 0025468","CPD 0025469","LOG_1051038"
"CPD 0025470","CPD 0025470","LOG_1051038"
"CPD 0025471","CPD 0025471","LOG_1051038"
"CPD 0025472","CPD 0025473","LOG_1051038"
"CPD 0025474","CPD 0025478","LOG_1051038"
"CPD 0025479","CPD 0025479","LOG_1051038"
"CPD 0025480","CPD 0025481","LOG_1051038"
"CPD 0025482","CPD 0025482","LOG_1051038"
"CPD 0025483","CPD 0025483","LOG_1051038"
"CPD 0025484","CPD 0025485","LOG_1051038"
"CPD 0025486","CPD 0025486","LOG_1051038"
"CPD 0025487","CPD 0025488","LOG_1051038"
"CPD 0025489","CPD 0025489","LOG_1051038"
"CPD 0025490","CPD 0025494","LOG_1051038"
"CPD 0025495","CPD 0025495","LOG_1051038"
"CPD 0025496","CPD 0025499","LOG_1051038"
"CPD 0025500","CPD 0025504","LOG_1051038"
"CPD 0025505","CPD 0025509","LOG_1051038"
"CPD 0025510","CPD 0025513","LOG_1051038"
"CPD 0025514","CPD 0025539","LOG_1051038"
"CPD 0025540","CPD 0025540","LOG_1051038"
"CPD 0025541","CPD 0025550","LOG_1051038"
"CPD 0025551","CPD 0025553","LOG_1051039"
"CPD 0025554","CPD 0025555","LOG_1051039"
"CPD 0025556","CPD 0025558","LOG_1051040"
"CPD 0025559","CPD 0025560","LOG_1051040"
"CPD 0025561","CPD 0025561","LOG_1051040"
"CPD 0025562","CPD 0025562","LOG_1051040"
"CPD 0025563","CPD 0025567","LOG_1051040"
"CPD 0025568","CPD 0025587","LOG_1051040"
"CPD 0025588","CPD 0025588","LOG_1051040"
"CPD 0025589","CPD 0025589","LOG_1051040"
"CPD 0025590","CPD 0025590","LOG_1051040"
"CPD 0025591","CPD 0025593","LOG_1051041"
"CPD 0025594","CPD 0025594","LOG_1051041"
"CPD 0025595","CPD 0025595","LOG_1051041"
"CPD 0025596","CPD 0025598","LOG_1051042"
"CPD 0025599","CPD 0025600","LOG_1051042"
"CPD 0025601","CPD 0025603","LOG_1051043"
"CPD 0025604","CPD 0025605","LOG_1051043"
"CPD 0025606","CPD 0025608","LOG_1051044"
"CPD 0025609","CPD 0025610","LOG_1051044"
"CPD 0025611","CPD 0025613","LOG_1051046"
"CPD 0025614","CPD 0025614","LOG_1051046"
"CPD 0025615","CPD 0025616","LOG_1051046"
"CPD 0025617","CPD 0025629","LOG_1051046"
"CPD 0025630","CPD 0025632","LOG_1051047"
"CPD 0025633","CPD 0025634","LOG_1051047"
"CPD 0025635","CPD 0025636","LOG_1051047"
"CPD 0025637","CPD 0025639","LOG_1051048"
"CPD 0025640","CPD 0025641","LOG_1051048"
"CPD 0025642","CPD 0025644","LOG_1051049"
"CPD 0025645","CPD 0025646","LOG_1051049"
"CPD 0025647","CPD 0025649","LOG_1051050"
"CPD 0025650","CPD 0025651","LOG_1051050"
"CPD 0025652","CPD 0025655","LOG_1051050"
"CPD 0025656","CPD 0025658","LOG_1051051"
"CPD 0025659","CPD 0025659","LOG_1051051"
"CPD 0025660","CPD 0025661","LOG_1051051"
"CPD 0025662","CPD 0025664","LOG_1051051"
"CPD 0025665","CPD 0025678","LOG_1051051"
"CPD 0025679","CPD 0025681","LOG_1051053"
"CPD 0025682","CPD 0025683","LOG_1051053"
"CPD 0025684","CPD 0025686","LOG_1051054"
"CPD 0025687","CPD 0025688","LOG_1051054"
"CPD 0025689","CPD 0025693","LOG_1051054"
"CPD 0025694","CPD 0025696","LOG_1051055"
"CPD 0025697","CPD 0025698","LOG_1051055"
"CPD 0025699","CPD 0025701","LOG_1051056"
"CPD 0025702","CPD 0025703","LOG_1051056"
"CPD 0025704","CPD 0025706","LOG_1051057"
"CPD 0025707","CPD 0025708","LOG_1051057"
"CPD 0025709","CPD 0025711","LOG_1051058"
"CPD 0025712","CPD 0025713","LOG_1051058"
"CPD 0025714","CPD 0025714","LOG_1051058"
"CPD 0025715","CPD 0025720","LOG_1051058"
"CPD 0025721","CPD 0025723","LOG_1051058"
"CPD 0025724","CPD 0025727","LOG_1051058"
"CPD 0025728","CPD 0025730","LOG_1051059"
"CPD 0025731","CPD 0025732","LOG_1051059"
"CPD 0025733","CPD 0025737","LOG_1051059"
"CPD 0025738","CPD 0025740","LOG_1051060"
"CPD 0025741","CPD 0025742","LOG_1051060"
"CPD 0025743","CPD 0025744","LOG_1051062"
"CPD 0025745","CPD 0025745","LOG_1051062"
"CPD 0025746","CPD 0025748","LOG_1051064"
"CPD 0025749","CPD 0025750","LOG_1051064"
"CPD 0025751","CPD 0025755","LOG_1051064"
"CPD 0025756","CPD 0025756","LOG_1051064"
"CPD 0025757","CPD 0025759","LOG_1051065"
"CPD 0025760","CPD 0025761","LOG_1051065"
"CPD 0025762","CPD 0025762","LOG_1051065"
"CPD 0025763","CPD 0025763","LOG_1051065"
"CPD 0025764","CPD 0025765","LOG_1051065"
"CPD 0025766","CPD 0025767","LOG_1051065"
"CPD 0025768","CPD 0025772","LOG_1051065"
"CPD 0025773","CPD 0025777","LOG_1051065"
"CPD 0025778","CPD 0025783","LOG_1051065"
"CPD 0025784","CPD 0025787","LOG_1051065"
"CPD 0025788","CPD 0025790","LOG_1051066"
"CPD 0025791","CPD 0025792","LOG_1051066"
"CPD 0025793","CPD 0025793","LOG_1051066"
"CPD 0025794","CPD 0025797","LOG_1051066"
"CPD 0025798","CPD 0025798","LOG_1051066"
"CPD 0025799","CPD 0025801","LOG_1051066"
"CPD 0025802","CPD 0025806","LOG_1051066"
"CPD 0025807","CPD 0025807","LOG_1051066"
"CPD 0025808","CPD 0025808","LOG_1051066"
"CPD 0025809","CPD 0025812","LOG_1051066"
"CPD 0025813","CPD 0025815","LOG_1051069"
"CPD 0025816","CPD 0025817","LOG_1051069"
"CPD 0025818","CPD 0025820","LOG_1051070"
"CPD 0025821","CPD 0025822","LOG_1051070"
"CPD 0025823","CPD 0025825","LOG_1051071"
"CPD 0025826","CPD 0025827","LOG_1051071"
"CPD 0025828","CPD 0025830","LOG_1051072"
"CPD 0025831","CPD 0025831","LOG_1051072"
"CPD 0025832","CPD 0025834","LOG_1051073"
"CPD 0025835","CPD 0025835","LOG_1051073"
"CPD 0025836","CPD 0025837","LOG_1051073"
"CPD 0025838","CPD 0025840","LOG_1051074"
"CPD 0025841","CPD 0025842","LOG_1051074"
"CPD 0025843","CPD 0025847","LOG_1051074"
"CPD 0025848","CPD 0025850","LOG_1051075"
"CPD 0025851","CPD 0025852","LOG_1051075"
"CPD 0025853","CPD 0025855","LOG_1051076"
"CPD 0025856","CPD 0025856","LOG_1051076"
"CPD 0025857","CPD 0025859","LOG_1051077"
"CPD 0025860","CPD 0025861","LOG_1051077"
"CPD 0025862","CPD 0025865","LOG_1051078"
"CPD 0025866","CPD 0025867","LOG_1051078"
"CPD 0025868","CPD 0025870","LOG_1051078"
"CPD 0025871","CPD 0025875","LOG_1051078"
"CPD 0025876","CPD 0025876","LOG_1051078"
"CPD 0025877","CPD 0025879","LOG_1051078"
"CPD 0025880","CPD 0025881","LOG_1051078"
"CPD 0025882","CPD 0025884","LOG_1051078"
"CPD 0025885","CPD 0025886","LOG_1051078"
"CPD 0025887","CPD 0025887","LOG_1051078"
"CPD 0025888","CPD 0025888","LOG_1051078"
"CPD 0025889","CPD 0025891","LOG_1051079"
"CPD 0025892","CPD 0025892","LOG_1051079"
"CPD 0025893","CPD 0025895","LOG_1051092"
"CPD 0025896","CPD 0025897","LOG_1051092"
"CPD 0025898","CPD 0025899","LOG_1051093"
"CPD 0025900","CPD 0025900","LOG_1051093"
"CPD 0025901","CPD 0025903","LOG_1051098"
"CPD 0025904","CPD 0025904","LOG_1051098"
"CPD 0025905","CPD 0025907","LOG_1051099"
"CPD 0025908","CPD 0025908","LOG_1051099"
"CPD 0025909","CPD 0025911","LOG_1051100"
"CPD 0025912","CPD 0025913","LOG_1051100"
"CPD 0025914","CPD 0025916","LOG_1051101"
"CPD 0025917","CPD 0025918","LOG_1051101"
"CPD 0025919","CPD 0025921","LOG_1051104"
"CPD 0025922","CPD 0025923","LOG_1051104"
"CPD 0025924","CPD 0025926","LOG_1051110"
"CPD 0025927","CPD 0025928","LOG_1051110"
"CPD 0025929","CPD 0025931","LOG_1051114"
"CPD 0025932","CPD 0025933","LOG_1051114"
"CPD 0025934","CPD 0025936","LOG_1051120"
"CPD 0025937","CPD 0025938","LOG_1051120"
"CPD 0025939","CPD 0025941","LOG_1051122"
"CPD 0025942","CPD 0025942","LOG_1051122"
"CPD 0025943","CPD 0025945","LOG_1051124"
"CPD 0025946","CPD 0025947","LOG_1051124"
"CPD 0025948","CPD 0025950","LOG_1051126"
"CPD 0025951","CPD 0025951","LOG_1051126"
"CPD 0025952","CPD 0025954","LOG_1051129"
"CPD 0025955","CPD 0025956","LOG_1051129"
"CPD 0025957","CPD 0025959","LOG_1051130"
"CPD 0025960","CPD 0025961","LOG_1051130"
"CPD 0025962","CPD 0025963","LOG_1051131"
"CPD 0025964","CPD 0025964","LOG_1051131"
"CPD 0025965","CPD 0025967","LOG_1051134"
"CPD 0025968","CPD 0025969","LOG_1051134"
"CPD 0025970","CPD 0025972","LOG_1051136"
"CPD 0025973","CPD 0025974","LOG_1051136"
"CPD 0025975","CPD 0025977","LOG_1051137"
"CPD 0025978","CPD 0025979","LOG_1051137"
"CPD 0025980","CPD 0025982","LOG_1051143"
"CPD 0025983","CPD 0025984","LOG_1051143"
"CPD 0025985","CPD 0025987","LOG_1051144"
"CPD 0025988","CPD 0025989","LOG_1051144"
"CPD 0025990","CPD 0025992","LOG_1051151"
"CPD 0025993","CPD 0025994","LOG_1051151"
"CPD 0025995","CPD 0025997","LOG_1051152"
"CPD 0025998","CPD 0025999","LOG_1051152"
"CPD 0026000","CPD 0026000","LOG_1051152"
"CPD 0026001","CPD 0026002","LOG_1051152"
"CPD 0026003","CPD 0026003","LOG_1051152"
"CPD 0026004","CPD 0026005","LOG_1051152"
"CPD 0026006","CPD 0026011","LOG_1051152"
"CPD 0026012","CPD 0026012","LOG_1051152"
"CPD 0026013","CPD 0026016","LOG_1051154"
"CPD 0026017","CPD 0026018","LOG_1051154"
"CPD 0026019","CPD 0026019","LOG_1051154"
"CPD 0026020","CPD 0026022","LOG_1051154"
"CPD 0026023","CPD 0026025","LOG_1051154"
"CPD 0026026","CPD 0026026","LOG_1051154"
"CPD 0026027","CPD 0026031","LOG_1051154"
"CPD 0026032","CPD 0026033","LOG_1051154"
"CPD 0026034","CPD 0026038","LOG_1051154"
"CPD 0026039","CPD 0026044","LOG_1051154"
"CPD 0026045","CPD 0026051","LOG_1051154"
"CPD 0026052","CPD 0026054","LOG_1051155"
"CPD 0026055","CPD 0026055","LOG_1051155"
"CPD 0026056","CPD 0026064","LOG_1051155"
"CPD 0026065","CPD 0026066","LOG_1051156"
"CPD 0026067","CPD 0026067","LOG_1051156"
"CPD 0026068","CPD 0026069","LOG_1051156"
"CPD 0026070","CPD 0026072","LOG_1051157"
"CPD 0026073","CPD 0026074","LOG_1051157"
"CPD 0026075","CPD 0026077","LOG_1051157"
"CPD 0026078","CPD 0026080","LOG_1051159"
"CPD 0026081","CPD 0026081","LOG_1051159"
"CPD 0026082","CPD 0026084","LOG_1051161"
"CPD 0026085","CPD 0026086","LOG_1051161"
"CPD 0026087","CPD 0026089","LOG_1051162"
"CPD 0026090","CPD 0026091","LOG_1051162"
"CPD 0026092","CPD 0026096","LOG_1051162"
"CPD 0026097","CPD 0026098","LOG_1051162"
"CPD 0026099","CPD 0026100","LOG_1051162"
"CPD 0026101","CPD 0026101","LOG_1051162"
"CPD 0026102","CPD 0026103","LOG_1051162"
"CPD 0026104","CPD 0026105","LOG_1051162"
"CPD 0026106","CPD 0026106","LOG_1051162"
"CPD 0026107","CPD 0026107","LOG_1051162"
"CPD 0026108","CPD 0026108","LOG_1051162"
"CPD 0026109","CPD 0026109","LOG_1051162"
"CPD 0026110","CPD 0026110","LOG_1051162"
"CPD 0026111","CPD 0026111","LOG_1051162"
"CPD 0026112","CPD 0026114","LOG_1051164"
"CPD 0026115","CPD 0026115","LOG_1051164"
"CPD 0026116","CPD 0026120","LOG_1051164"
"CPD 0026121","CPD 0026125","LOG_1051165"
"CPD 0026126","CPD 0026127","LOG_1051165"
"CPD 0026128","CPD 0026128","LOG_1051165"
"CPD 0026129","CPD 0026131","LOG_1051165"
"CPD 0026132","CPD 0026139","LOG_1051165"
"CPD 0026140","CPD 0026140","LOG_1051165"
"CPD 0026141","CPD 0026141","LOG_1051165"
"CPD 0026142","CPD 0026146","LOG_1051165"
"CPD 0026147","CPD 0026148","LOG_1051165"
"CPD 0026149","CPD 0026151","LOG_1051165"
"CPD 0026152","CPD 0026154","LOG_1051165"
"CPD 0026155","CPD 0026157","LOG_1051165"
"CPD 0026158","CPD 0026159","LOG_1051165"
"CPD 0026160","CPD 0026160","LOG_1051165"
"CPD 0026161","CPD 0026162","LOG_1051165"
"CPD 0026163","CPD 0026164","LOG_1051165"
"CPD 0026165","CPD 0026170","LOG_1051165"
"CPD 0026171","CPD 0026180","LOG_1051165"
"CPD 0026181","CPD 0026181","LOG_1051165"
"CPD 0026182","CPD 0026183","LOG_1051165"
"CPD 0026184","CPD 0026185","LOG_1051165"
"CPD 0026186","CPD 0026188","LOG_1051165"
"CPD 0026189","CPD 0026192","LOG_1051166"
"CPD 0026193","CPD 0026194","LOG_1051166"
"CPD 0026195","CPD 0026195","LOG_1051166"
"CPD 0026196","CPD 0026196","LOG_1051166"
"CPD 0026197","CPD 0026197","LOG_1051166"
"CPD 0026198","CPD 0026205","LOG_1051166"
"CPD 0026206","CPD 0026213","LOG_1051166"
"CPD 0026214","CPD 0026221","LOG_1051166"
"CPD 0026222","CPD 0026229","LOG_1051166"
"CPD 0026230","CPD 0026234","LOG_1051166"
"CPD 0026235","CPD 0026240","LOG_1051166"
"CPD 0026241","CPD 0026241","LOG_1051166"
"CPD 0026242","CPD 0026242","LOG_1051166"
"CPD 0026243","CPD 0026243","LOG_1051166"
"CPD 0026244","CPD 0026244","LOG_1051166"
"CPD 0026245","CPD 0026245","LOG_1051166"
"CPD 0026246","CPD 0026246","LOG_1051166"
"CPD 0026247","CPD 0026248","LOG_1051168"
"CPD 0026249","CPD 0026249","LOG_1051168"
"CPD 0026250","CPD 0026252","LOG_1051169"
"CPD 0026253","CPD 0026253","LOG_1051169"
"CPD 0026254","CPD 0026256","LOG_1051172"
"CPD 0026257","CPD 0026258","LOG_1051172"
"CPD 0026259","CPD 0026260","LOG_1051174"
"CPD 0026261","CPD 0026261","LOG_1051174"
"CPD 0026262","CPD 0026264","LOG_1051184"
"CPD 0026265","CPD 0026265","LOG_1051184"
"CPD 0026266","CPD 0026268","LOG_1051190"
"CPD 0026269","CPD 0026270","LOG_1051190"
"CPD 0026271","CPD 0026273","LOG_1051191"
"CPD 0026274","CPD 0026275","LOG_1051191"
"CPD 0026276","CPD 0026278","LOG_1051192"
"CPD 0026279","CPD 0026280","LOG_1051192"
"CPD 0026281","CPD 0026283","LOG_1051196"
"CPD 0026284","CPD 0026285","LOG_1051196"
"CPD 0026286","CPD 0026288","LOG_1051207"
"CPD 0026289","CPD 0026290","LOG_1051207"
"CPD 0026291","CPD 0026293","LOG_1051208"
"CPD 0026294","CPD 0026294","LOG_1051208"
"CPD 0026295","CPD 0026297","LOG_1051209"
"CPD 0026298","CPD 0026299","LOG_1051209"
"CPD 0026300","CPD 0026302","LOG_1051211"
"CPD 0026303","CPD 0026304","LOG_1051211"
"CPD 0026305","CPD 0026307","LOG_1051212"
"CPD 0026308","CPD 0026309","LOG_1051212"
"CPD 0026310","CPD 0026312","LOG_1051214"
"CPD 0026313","CPD 0026314","LOG_1051214"
"CPD 0026315","CPD 0026317","LOG_1051215"
"CPD 0026318","CPD 0026319","LOG_1051215"
"CPD 0026320","CPD 0026322","LOG_1051216"
"CPD 0026323","CPD 0026324","LOG_1051216"
"CPD 0026325","CPD 0026327","LOG_1051217"
"CPD 0026328","CPD 0026329","LOG_1051217"
"CPD 0026330","CPD 0026332","LOG_1051224"
"CPD 0026333","CPD 0026333","LOG_1051224"
"CPD 0026334","CPD 0026336","LOG_1051225"
"CPD 0026337","CPD 0026338","LOG_1051225"
"CPD 0026339","CPD 0026341","LOG_1051226"
"CPD 0026342","CPD 0026342","LOG_1051226"
"CPD 0026343","CPD 0026345","LOG_1051230"
"CPD 0026346","CPD 0026347","LOG_1051230"
"CPD 0026348","CPD 0026350","LOG_1051231"
"CPD 0026351","CPD 0026352","LOG_1051231"
"CPD 0026353","CPD 0026355","LOG_1051232"
"CPD 0026356","CPD 0026357","LOG_1051232"
"CPD 0026358","CPD 0026360","LOG_1051233"
"CPD 0026361","CPD 0026362","LOG_1051233"
"CPD 0026363","CPD 0026365","LOG_1051234"
"CPD 0026366","CPD 0026367","LOG_1051234"
"CPD 0026368","CPD 0026370","LOG_1051235"
"CPD 0026371","CPD 0026372","LOG_1051235"
"CPD 0026373","CPD 0026375","LOG_1051237"
"CPD 0026376","CPD 0026377","LOG_1051237"
"CPD 0026378","CPD 0026380","LOG_1051239"
"CPD 0026381","CPD 0026382","LOG_1051239"
"CPD 0026383","CPD 0026385","LOG_1051243"
"CPD 0026386","CPD 0026387","LOG_1051243"
"CPD 0026388","CPD 0026389","LOG_1051247"
"CPD 0026390","CPD 0026390","LOG_1051247"
"CPD 0026391","CPD 0026393","LOG_1051248"
"CPD 0026394","CPD 0026395","LOG_1051248"
"CPD 0026396","CPD 0026398","LOG_1051251"
"CPD 0026399","CPD 0026399","LOG_1051251"
"CPD 0026400","CPD 0026402","LOG_1051254"
"CPD 0026403","CPD 0026404","LOG_1051254"
"CPD 0026405","CPD 0026407","LOG_1051257"
"CPD 0026408","CPD 0026409","LOG_1051257"
"CPD 0026410","CPD 0026412","LOG_1051260"
"CPD 0026413","CPD 0026414","LOG_1051260"
"CPD 0026415","CPD 0026417","LOG_1051263"
"CPD 0026418","CPD 0026418","LOG_1051263"
"CPD 0026419","CPD 0026421","LOG_1051265"
"CPD 0026422","CPD 0026423","LOG_1051265"
"CPD 0026424","CPD 0026426","LOG_1051268"
"CPD 0026427","CPD 0026428","LOG_1051268"
"CPD 0026429","CPD 0026431","LOG_1051269"
"CPD 0026432","CPD 0026433","LOG_1051269"
"CPD 0026434","CPD 0026436","LOG_1051275"
"CPD 0026437","CPD 0026437","LOG_1051275"
"CPD 0026438","CPD 0026440","LOG_1051276"
"CPD 0026441","CPD 0026442","LOG_1051276"
"CPD 0026443","CPD 0026445","LOG_1051278"
"CPD 0026446","CPD 0026446","LOG_1051278"
"CPD 0026447","CPD 0026449","LOG_1051283"
"CPD 0026450","CPD 0026451","LOG_1051283"
"CPD 0026452","CPD 0026454","LOG_1051284"
"CPD 0026455","CPD 0026456","LOG_1051284"
"CPD 0026457","CPD 0026459","LOG_1051287"
"CPD 0026460","CPD 0026461","LOG_1051287"
"CPD 0026462","CPD 0026464","LOG_1051288"
"CPD 0026465","CPD 0026466","LOG_1051288"
"CPD 0026467","CPD 0026469","LOG_1051294"
"CPD 0026470","CPD 0026471","LOG_1051294"
"CPD 0026472","CPD 0026474","LOG_1051298"
"CPD 0026475","CPD 0026476","LOG_1051298"
"CPD 0026477","CPD 0026479","LOG_1051299"
"CPD 0026480","CPD 0026481","LOG_1051299"
"CPD 0026482","CPD 0026486","LOG_1051299"
"CPD 0026487","CPD 0026488","LOG_1051299"
"CPD 0026489","CPD 0026490","LOG_1051300"
"CPD 0026491","CPD 0026491","LOG_1051300"
"CPD 0026492","CPD 0026493","LOG_1051301"
"CPD 0026494","CPD 0026494","LOG_1051301"
"CPD 0026495","CPD 0026497","LOG_1051302"
"CPD 0026498","CPD 0026498","LOG_1051302"
"CPD 0026499","CPD 0026503","LOG_1051302"
"CPD 0026504","CPD 0026505","LOG_1051303"
"CPD 0026506","CPD 0026506","LOG_1051303"
"CPD 0026507","CPD 0026508","LOG_1051304"
"CPD 0026509","CPD 0026509","LOG_1051304"
"CPD 0026510","CPD 0026511","LOG_1051304"
"CPD 0026512","CPD 0026514","LOG_1051305"
"CPD 0026515","CPD 0026516","LOG_1051305"
"CPD 0026517","CPD 0026518","LOG_1051305"
"CPD 0026519","CPD 0026520","LOG_1051305"
"CPD 0026521","CPD 0026521","LOG_1051305"
"CPD 0026522","CPD 0026524","LOG_1051306"
"CPD 0026525","CPD 0026526","LOG_1051306"
"CPD 0026527","CPD 0026528","LOG_1051306"
"CPD 0026529","CPD 0026533","LOG_1051306"
"CPD 0026534","CPD 0026535","LOG_1051306"
"CPD 0026536","CPD 0026538","LOG_1051307"
"CPD 0026539","CPD 0026539","LOG_1051307"
"CPD 0026540","CPD 0026542","LOG_1051308"
"CPD 0026543","CPD 0026544","LOG_1051308"
"CPD 0026545","CPD 0026545","LOG_1051308"
"CPD 0026546","CPD 0026548","LOG_1051311"
"CPD 0026549","CPD 0026550","LOG_1051311"
"CPD 0026551","CPD 0026553","LOG_1051315"
"CPD 0026554","CPD 0026555","LOG_1051315"
"CPD 0026556","CPD 0026558","LOG_1051316"
"CPD 0026559","CPD 0026560","LOG_1051316"
"CPD 0026561","CPD 0026563","LOG_1051317"
"CPD 0026564","CPD 0026565","LOG_1051317"
"CPD 0026566","CPD 0026568","LOG_1051320"
"CPD 0026569","CPD 0026569","LOG_1051320"
"CPD 0026570","CPD 0026572","LOG_1051322"
"CPD 0026573","CPD 0026574","LOG_1051322"
"CPD 0026575","CPD 0026577","LOG_1051325"
"CPD 0026578","CPD 0026579","LOG_1051325"
"CPD 0026580","CPD 0026580","LOG_1051325"
"CPD 0026581","CPD 0026583","LOG_1051326"
"CPD 0026584","CPD 0026584","LOG_1051326"
"CPD 0026585","CPD 0026587","LOG_1051326"
"CPD 0026588","CPD 0026591","LOG_1051327"
"CPD 0026592","CPD 0026593","LOG_1051327"
"CPD 0026594","CPD 0026595","LOG_1051327"
"CPD 0026596","CPD 0026600","LOG_1051327"
"CPD 0026601","CPD 0026606","LOG_1051327"
"CPD 0026607","CPD 0026609","LOG_1051327"
"CPD 0026610","CPD 0026612","LOG_1051327"
"CPD 0026613","CPD 0026615","LOG_1051327"
"CPD 0026616","CPD 0026617","LOG_1051327"
"CPD 0026618","CPD 0026618","LOG_1051327"
"CPD 0026619","CPD 0026619","LOG_1051327"
"CPD 0026620","CPD 0026620","LOG_1051327"
"CPD 0026621","CPD 0026621","LOG_1051327"
"CPD 0026622","CPD 0026622","LOG_1051327"
"CPD 0026623","CPD 0026623","LOG_1051327"
"CPD 0026624","CPD 0026624","LOG_1051327"
"CPD 0026625","CPD 0026625","LOG_1051327"
"CPD 0026626","CPD 0026629","LOG_1051327"
"CPD 0026630","CPD 0026630","LOG_1051327"
"CPD 0026631","CPD 0026652","LOG_1051327"
"CPD 0026653","CPD 0026653","LOG_1051327"
"CPD 0026654","CPD 0026654","LOG_1051327"
"CPD 0026655","CPD 0026655","LOG_1051327"
"CPD 0026656","CPD 0026658","LOG_1051328"
"CPD 0026659","CPD 0026660","LOG_1051328"
"CPD 0026661","CPD 0026662","LOG_1051328"
"CPD 0026663","CPD 0026667","LOG_1051328"
"CPD 0026668","CPD 0026668","LOG_1051328"
"CPD 0026669","CPD 0026670","LOG_1051329"
"CPD 0026671","CPD 0026671","LOG_1051329"
"CPD 0026672","CPD 0026674","LOG_1051330"
"CPD 0026675","CPD 0026676","LOG_1051330"
"CPD 0026677","CPD 0026679","LOG_1051331"
"CPD 0026680","CPD 0026681","LOG_1051331"
"CPD 0026682","CPD 0026684","LOG_1051332"
"CPD 0026685","CPD 0026686","LOG_1051332"
"CPD 0026687","CPD 0026689","LOG_1051332"
"CPD 0026690","CPD 0026692","LOG_1051335"
"CPD 0026693","CPD 0026694","LOG_1051335"
"CPD 0026695","CPD 0026697","LOG_1051336"
"CPD 0026698","CPD 0026699","LOG_1051336"
"CPD 0026700","CPD 0026700","LOG_1051336"
"CPD 0026701","CPD 0026701","LOG_1051336"
"CPD 0026702","CPD 0026702","LOG_1051336"
"CPD 0026703","CPD 0026703","LOG_1051336"
"CPD 0026704","CPD 0026704","LOG_1051336"
"CPD 0026705","CPD 0026705","LOG_1051336"
"CPD 0026706","CPD 0026706","LOG_1051336"
"CPD 0026707","CPD 0026707","LOG_1051336"
"CPD 0026708","CPD 0026708","LOG_1051336"
"CPD 0026709","CPD 0026712","LOG_1051336"
"CPD 0026713","CPD 0026727","LOG_1051336"
"CPD 0026728","CPD 0026729","LOG_1051336"
"CPD 0026730","CPD 0026732","LOG_1051337"
"CPD 0026733","CPD 0026733","LOG_1051337"
"CPD 0026734","CPD 0026736","LOG_1051338"
"CPD 0026737","CPD 0026738","LOG_1051338"
"CPD 0026739","CPD 0026741","LOG_1051339"
"CPD 0026742","CPD 0026743","LOG_1051339"
"CPD 0026744","CPD 0026744","LOG_1051339"
"CPD 0026745","CPD 0026745","LOG_1051339"
"CPD 0026746","CPD 0026746","LOG_1051339"
"CPD 0026747","CPD 0026748","LOG_1051339"
"CPD 0026749","CPD 0026749","LOG_1051339"
"CPD 0026750","CPD 0026750","LOG_1051339"
"CPD 0026751","CPD 0026751","LOG_1051339"
"CPD 0026752","CPD 0026752","LOG_1051339"
"CPD 0026753","CPD 0026753","LOG_1051339"
"CPD 0026754","CPD 0026757","LOG_1051339"
"CPD 0026758","CPD 0026760","LOG_1051340"
"CPD 0026761","CPD 0026762","LOG_1051340"
"CPD 0026763","CPD 0026767","LOG_1051340"
"CPD 0026768","CPD 0026770","LOG_1051341"
"CPD 0026771","CPD 0026772","LOG_1051341"
"CPD 0026773","CPD 0026775","LOG_1051342"
"CPD 0026776","CPD 0026777","LOG_1051342"
"CPD 0026778","CPD 0026780","LOG_1051344"
"CPD 0026781","CPD 0026782","LOG_1051344"
"CPD 0026783","CPD 0026785","LOG_1051345"
"CPD 0026786","CPD 0026787","LOG_1051345"
"CPD 0026788","CPD 0026792","LOG_1051345"
"CPD 0026793","CPD 0026795","LOG_1051349"
"CPD 0026796","CPD 0026797","LOG_1051349"
"CPD 0026798","CPD 0026800","LOG_1051350"
"CPD 0026801","CPD 0026802","LOG_1051350"
"CPD 0026803","CPD 0026805","LOG_1051359"
"CPD 0026806","CPD 0026807","LOG_1051359"
"CPD 0026808","CPD 0026810","LOG_1051364"
"CPD 0026811","CPD 0026812","LOG_1051364"
"CPD 0026813","CPD 0026815","LOG_1051367"
"CPD 0026816","CPD 0026817","LOG_1051367"
"CPD 0026818","CPD 0026820","LOG_1051371"
"CPD 0026821","CPD 0026821","LOG_1051371"
"CPD 0026822","CPD 0026824","LOG_1051372"
"CPD 0026825","CPD 0026826","LOG_1051372"
"CPD 0026827","CPD 0026829","LOG_1051375"
"CPD 0026830","CPD 0026830","LOG_1051375"
"CPD 0026831","CPD 0026835","LOG_1051375"
"CPD 0026836","CPD 0026838","LOG_1051375"
