"Production::Begin Bates","Production::End Bates","Log Number"
"CPD 0017854","CPD 0017856","LOG_1049098"
"CPD 0017857","CPD 0017858","LOG_1049098"
"CPD 0017859","CPD 0017860","LOG_1049099"
"CPD 0017861","CPD 0017861","LOG_1049099"
"CPD 0017862","CPD 0017863","LOG_1049100"
"CPD 0017864","CPD 0017864","LOG_1049100"
"CPD 0017865","CPD 0017866","LOG_1049101"
"CPD 0017867","CPD 0017868","LOG_1049101"
"CPD 0017869","CPD 0017870","LOG_1049101"
"CPD 0017871","CPD 0017871","LOG_1049101"
"CPD 0017872","CPD 0017872","LOG_1049101"
"CPD 0017873","CPD 0017873","LOG_1049101"
"CPD 0017874","CPD 0017876","LOG_1049101"
"CPD 0017877","CPD 0017879","LOG_1049102"
"CPD 0017880","CPD 0017880","LOG_1049102"
"CPD 0017881","CPD 0017883","LOG_1049104"
"CPD 0017884","CPD 0017885","LOG_1049104"
"CPD 0017886","CPD 0017888","LOG_1049104"
"CPD 0017889","CPD 0017892","LOG_1049105"
"CPD 0017893","CPD 0017894","LOG_1049105"
"CPD 0017895","CPD 0017898","LOG_1049105"
"CPD 0017899","CPD 0017901","LOG_1049105"
"CPD 0017902","CPD 0017902","LOG_1049105"
"CPD 0017903","CPD 0017904","LOG_1049105"
"CPD 0017905","CPD 0017905","LOG_1049105"
"CPD 0017906","CPD 0017908","LOG_1049105"
"CPD 0017909","CPD 0017911","LOG_1049106"
"CPD 0017912","CPD 0017913","LOG_1049106"
"CPD 0017914","CPD 0017916","LOG_1049108"
"CPD 0017917","CPD 0017918","LOG_1049108"
"CPD 0017919","CPD 0017919","LOG_1049108"
"CPD 0017920","CPD 0017922","LOG_1049108"
"CPD 0017923","CPD 0017926","LOG_1049108"
"CPD 0017927","CPD 0017929","LOG_1049109"
"CPD 0017930","CPD 0017932","LOG_1049110"
"CPD 0017933","CPD 0017933","LOG_1049110"
"CPD 0017934","CPD 0017939","LOG_1049111"
"CPD 0017940","CPD 0017941","LOG_1049111"
"CPD 0017942","CPD 0017942","LOG_1049111"
"CPD 0017943","CPD 0017943","LOG_1049111"
"CPD 0017944","CPD 0017948","LOG_1049111"
"CPD 0017949","CPD 0017954","LOG_1049111"
"CPD 0017955","CPD 0017956","LOG_1049111"
"CPD 0017957","CPD 0017961","LOG_1049111"
"CPD 0017962","CPD 0017983","LOG_1049111"
"CPD 0017984","CPD 0017986","LOG_1049111"
"CPD 0017987","CPD 0017987","LOG_1049111"
"CPD 0017988","CPD 0017995","LOG_1049111"
"CPD 0017996","CPD 0018000","LOG_1049111"
"CPD 0018001","CPD 0018002","LOG_1049111"
"CPD 0018003","CPD 0018007","LOG_1049111"
"CPD 0018008","CPD 0018011","LOG_1049111"
"CPD 0018012","CPD 0018012","LOG_1049111"
"CPD 0018013","CPD 0018014","LOG_1049111"
"CPD 0018015","CPD 0018026","LOG_1049111"
"CPD 0018027","CPD 0018029","LOG_1049112"
"CPD 0018030","CPD 0018031","LOG_1049112"
"CPD 0018032","CPD 0018035","LOG_1049114"
"CPD 0018036","CPD 0018037","LOG_1049114"
"CPD 0018038","CPD 0018044","LOG_1049114"
"CPD 0018045","CPD 0018049","LOG_1049114"
"CPD 0018050","CPD 0018055","LOG_1049114"
"CPD 0018056","CPD 0018058","LOG_1049114"
"CPD 0018059","CPD 0018060","LOG_1049114"
